txId,userId
230325127,451690
230325139,203710
86875675,71604
230325147,253520
230325154,121629
230325162,31588
230325507,404982
230325510,100705
230325532,321690
230325937,5358
230325956,376255
54928146,145400
230325972,339027
86830771,205613
230325983,152625
230326367,710
230326373,559
230326381,268936
230326387,504417
88008478,125911
88008479,125911
230326431,152
230326754,70714
14628834,504417
230327318,6624
230328024,6624
230328400,6624
230329236,143100
4751334,293339
230329285,367446
230329633,528262
230330002,311490
230330028,179416
230330036,427180
10506205,406964
14304807,291030
230330054,33828
3234247,315588
10974347,135576
230330114,135576
230330122,135576
230330123,135576
230330544,135576
230330859,12132
230330936,62301
230330942,227043
230330948,497851
230330954,488920
230330958,126693
86468739,265577
230330962,498040
91224338,166287
230330969,237986
37232608,273075
230330975,413076
2712012,183675
230331213,79000
230331217,79000
230331370,79000
230331777,557117
230331955,80957
230331963,251722
230331964,404283
230332417,25522
230332604,232946
31760424,84544
230333028,414633
230333498,414633
131942180,378008
31760423,284705
2327179,146719
230333626,317716
82072649,55189
57794247,243099
230333889,290612
75607151,330949
75607032,513473
14353875,86255
230333913,67417
75607037,391769
75607141,128217
230333927,15537
230333930,122167
230333936,325315
230333948,529503
230333956,447005
230333961,377538
230333964,49905
230333968,222121
88598583,149267
3157662,193354
230334372,287711
230334382,488330
230334388,156989
230334395,266912
230334715,452853
230334719,158404
230334753,347080
230334754,164204
2823289,538268
230334763,354058
15961901,26073
230334781,546743
195142,324814
230334788,483767
230334791,319772
206365315,59703
230334809,57986
24029501,255679
5192284,194955
230334817,11887
230334819,152
207798045,152
226902381,152
230335023,127632
230335026,259784
230335032,539109
230335044,134483
179510554,290612
31017619,158404
230335060,306048
93153714,15537
230335074,96559
10734050,389374
11718428,127632
73077448,149484
139003477,431614
230336024,422509
230336034,473830
230336050,710
230336058,63209
230336061,212708
195617390,549320
230336067,346616
230336077,63209
230336085,490721
230336086,490721
33185434,154423
7460711,63209
230336113,537673
230336120,557715
37232621,139087
230336133,155076
230336134,89650
102109585,504841
230336139,138350
3986907,164369
230336142,445735
230336145,152
41787101,341942
154753307,318450
230336160,288547
230336166,357915
230336176,80255
230336178,71494
230336180,557715
230336184,258880
37232610,90311
230336197,152
87955811,557715
22873295,557715
205313457,122158
17373317,328993
230336232,290612
34031118,24025
230336235,427020
230336237,121627
230336239,164369
37232614,513473
31177489,513473
230336248,527627
8029423,531023
230336254,236551
123566494,549320
101737475,549320
230336259,549320
230336262,557715
230336266,557715
230336282,467254
230336287,113376
230336526,109846
230336686,118114
91496924,258105
230336698,324985
3754816,172870
10216529,138841
230336706,328118
230336858,468649
3404992,388847
230337202,416659
230337461,79000
10976787,135576
230337487,120726
230337851,471878
230337861,461451
230337864,281913
230337930,175499
23864550,77282
230338249,77282
3398431,53697
230338271,79000
55019412,190462
230338346,4705
3422040,147166
31428292,77910
55020366,311897
230338678,152
3851279,152
230338694,2853
230339107,84164
230339169,39890
230339212,233804
156330450,293456
230339217,79973
66104221,314954
3420521,167760
69254632,19484
37232603,513473
75607139,513473
37232605,513473
230339461,513473
230339462,513473
230339465,152
230339468,152
230339474,152
230339477,2853
230339481,2853
230339486,2853
230339493,2853
230339498,152
95431233,231614
70135502,437061
230339649,152
230339656,152
230339661,39855
230339671,63209
230339682,79809
230339691,116664
230339700,433247
33809075,307551
230339729,7441
230339739,38089
230339746,261402
230339750,33691
32477875,109157
230339756,2853
230339760,2853
230339769,3871
230339770,152
3405488,97336
230340190,155488
230340212,134316
32477874,184134
3405005,145569
230340232,429701
7119736,315887
115545119,354150
230340242,520413
230340248,234019
230340253,138852
230340264,215550
12840532,109702
40623301,4705
230340322,266076
230340902,151200
230340906,560583
230341375,24752
3408161,249967
3391070,267700
3435882,365556
3426724,387770
3420550,275946
3391129,148654
3399363,131764
3424818,280483
3424741,246532
3408102,35744
3386635,31039
230343128,166443
3378829,16671
3391152,406970
37232616,329371
230343385,295285
3396404,481525
3406800,366601
3389771,9694
25444506,8217
3383978,208376
3403752,287243
3401438,124711
3722621,289971
230344662,321543
230344666,301101
230344670,88160
230344676,339841
230344689,238603
230344692,106369
230345439,4705
230345455,3531
230345948,4705
17152398,436348
230346018,143132
230346026,143132
3383995,94941
3408003,187
5030016,115650
230346949,277477
230346979,273484
230346985,428166
230346998,148891
230347018,57386
3420754,394026
3421848,95205
230347366,533410
230347375,211777
3408976,358795
230347386,155456
230347394,506680
37232600,59913
121335959,136185
230348187,302037
75607257,363790
230348233,8123
230348238,419242
230348244,243042
75607259,460028
230348252,305594
75607145,536074
3908453,533351
230348259,379251
13943610,86608
230348264,458886
31212059,389428
230348268,296470
230348270,429191
230348273,469276
230348275,276255
230348280,230268
111955207,251170
75607137,171685
3907845,54814
230348386,350675
230348393,112425
230348397,121363
75607038,437156
230348399,550664
75607263,514902
230348608,10155
230348611,177286
230348615,189033
230348618,398419
75607146,94200
75607261,440824
230349039,78374
75607147,273914
75607024,214734
230349222,172529
230349226,364904
75607034,519498
75607469,417014
3907871,96392
75607042,398402
230349381,391148
75607029,554834
75607152,2410
230349398,487704
75607030,232457
230349412,453926
230349415,12340
230349418,557278
34101169,262277
230349591,290192
230349595,426396
230349792,93164
230349797,107
230349989,558708
170482132,496763
230349999,182944
230350275,53818
14793983,10453
134489376,158404
230350402,29825
1911119,106921
230350796,425107
230350799,70959
230350804,101934
230351016,261266
75607471,105045
75607264,529993
230351401,333021
230351409,140554
230351417,490856
230351423,31805
4996156,140423
230351501,10596
230351519,144137
230351534,440916
10502209,284373
230351549,374213
230351738,1355
3304395,158960
4454658,227639
230352213,11996
230352216,80180
202251566,97755
3403763,412302
27467932,130906
230352249,511082
230352632,366008
230352707,12303
230353405,408
75607349,122352
3408181,122260
230353884,18926
230353892,23735
230354384,150
230354696,408
230354705,11996
7658496,32074
230585122,26711
230585461,22361
230585879,108846
230585884,549865
230585983,195507
230586278,287595
230586283,338121
230586286,142864
5868364,7316
12987532,291030
9627948,557007
230586765,464581
230586767,555631
230586770,277579
230586836,321595
230586841,477823
230586846,391598
91787015,455768
89536812,326209
53204358,31074
230586868,90569
230586873,195505
33176841,224883
10288849,3820
230586895,113979
230587487,3278
230587503,353362
31760422,188230
19146132,106872
230588228,272444
230588237,12320
230588248,99792
75604395,513473
75604392,293810
33483786,173344
230588413,217951
230588414,328966
75604685,86614
230530288,549320
75604616,67568
230588656,275433
14180211,125075
5156456,335900
230588663,486080
230588666,275433
230588890,436334
230589129,450871
230468063,515511
230589243,479040
230589514,217975
89914148,57564
2757608,136664
230412485,188465
230589953,514476
81566305,24025
230590476,415800
230590480,146613
230590482,490721
230590626,13288
